track_id,track_name,artist_id,artist_name,album_id,album_name,release_date,popularity,duration_ms,explicit,external_url,query_genre
4QxDOjgpYtQDxxbWPuEJOy,L-O-V-E,7v4imS0moSyGdXyLgVTIV7,Nat King Cole,3mGmn1JDde3XyKQqZTJUAL,L-O-V-E,1965-01-11,,155306,False,https://open.spotify.com/track/4QxDOjgpYtQDxxbWPuEJOy,jazz
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,3ofZeSWPHZOE5WC2tNZDez,I Put A Spell On You,1965-06-01,,174000,False,https://open.spotify.com/track/6Rqn2GFlmvmV4w9Ala0I1e,jazz
4KGGeE7RJsgLNZmnxGFlOj,Falling Behind,7gW0r5CkdEUMm42w9XpyZO,Laufey,0Ydm84ftyiWRGOIFkdl30L,Everything I Know About Love,2022-08-26,,173640,False,https://open.spotify.com/track/4KGGeE7RJsgLNZmnxGFlOj,jazz
4UQDZlZhGUDoYMohwrY28v,Virtual Insanity - Remastered 2006,6J7biCazzYhU3gM9j1wfid,Jamiroquai,0PZ6p6h37zPRCskVNqBRbw,Driving Songs,2005-01-01,,229360,False,https://open.spotify.com/track/4UQDZlZhGUDoYMohwrY28v,jazz
4nwjvcUjV7cexhwA40Bh5i,Lover Girl,7gW0r5CkdEUMm42w9XpyZO,Laufey,5rMOCuiWWbEBcHaKM69Hmv,A Matter of Time,2025-08-22,,164400,False,https://open.spotify.com/track/4nwjvcUjV7cexhwA40Bh5i,jazz
1ukZalnC6GmPFUDduB6slb,My Baby Just Cares For Me,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,1xCYBRmkHlmSQZ3XRwdW6T,Sinnerman,1965-10-01,,215039,False,https://open.spotify.com/track/1ukZalnC6GmPFUDduB6slb,jazz
6y0Etr2KJr0sdcEp7ajoUK,Cosmic Girl - Remastered 2013,6J7biCazzYhU3gM9j1wfid,Jamiroquai,4yrrPNjd9RcqnuDnoEhlER,Travelling Without Moving (Remastered),1996-09-09,,244146,False,https://open.spotify.com/track/6y0Etr2KJr0sdcEp7ajoUK,jazz
4rC9BpyVRma0yWWHFWINPX,Taylormade Souls,6AQhB3n15VYzr3sjzacCDT,Moon and Oceans,7hyDnmSURWFSjFE57R0LfS,Taylormade Souls,2025-03-14,,31987,False,https://open.spotify.com/track/4rC9BpyVRma0yWWHFWINPX,jazz
28tXpzr8O0gIfMst4ibcB7,Leaves,5guLh88hMzDjkSeZky7vZe,Sha Ma K'ho,32YiBGy4wWLHteugyzBcOD,Leaves,2025-03-17,,35218,False,https://open.spotify.com/track/28tXpzr8O0gIfMst4ibcB7,jazz
08PdFBcXzpkn1cWNgmKqhn,Promise,7gW0r5CkdEUMm42w9XpyZO,Laufey,1rpCHilZQkw84A3Y9czvMO,Bewitched,2023-09-08,,234266,False,https://open.spotify.com/track/08PdFBcXzpkn1cWNgmKqhn,jazz
5QeyrUznSqT9wnMhtNaygH,Más café y menos estrés,6LuzYYGwEBf7NlpmSHsQzJ,Café Maguana,3H8a9PJ9tzEm7UVkcJiWuu,Más café y menos estrés,2025-10-15,,147319,False,https://open.spotify.com/track/5QeyrUznSqT9wnMhtNaygH,jazz
2GViQ70Qunna09ZLUFcwdB,The Winner Takes It All,1HVwzNriKEjaeE06okqSpx,Carla Bruni,2bHQTGyLGnwMDqrsuMvTsQ,French Touch,2017-10-06,,211720,False,https://open.spotify.com/track/2GViQ70Qunna09ZLUFcwdB,jazz
7znjbX9XdoQayIrVNdd50Z,The Girl From Ipanema,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,2W6Hvrtg2Zpc9dW4aBDbdP,Getz/Gilberto (Expanded Edition),1964-03-01,,320253,False,https://open.spotify.com/track/7znjbX9XdoQayIrVNdd50Z,jazz
5b7OgznPJJr1vHNYGyvxau,Fly Me To The Moon (In Other Words),1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,2NCtCObbmJoJnplsR5mLAl,Sinatra/Basie: The Complete Reprise Studio Recordings,1962-12-10,,147000,False,https://open.spotify.com/track/5b7OgznPJJr1vHNYGyvxau,jazz
0sjxRg1VlYfx4YG7uxurrq,I Put A Spell On You,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,3ofZeSWPHZOE5WC2tNZDez,I Put A Spell On You,1965-06-01,,155026,False,https://open.spotify.com/track/0sjxRg1VlYfx4YG7uxurrq,jazz
1YQWosTIljIvxAgHWTp7KP,Take Five,4iRZAbYvBqnxrbs6K25aJ7,The Dave Brubeck Quartet,0nTTEAhCZsbbeplyDMIFuA,Time Out,1959-12-14,,328831,False,https://open.spotify.com/track/1YQWosTIljIvxAgHWTp7KP,jazz
3okCsBWWv7okRgaTnMQ2Fp,Dos Gardenias,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,5qcOy8sMqROZ0VEfK8LJZt,Buena Vista Social Club,1997-06-23,,184026,False,https://open.spotify.com/track/3okCsBWWv7okRgaTnMQ2Fp,jazz
7zkLpY72g6lKQbiHDqri1S,Sunrise,2Kx7MNY7cI1ENniW7vT30N,Norah Jones,7GaAXgbFSpcJOiLlFGYyOL,Feels Like Home,2004-01-01,,200626,False,https://open.spotify.com/track/7zkLpY72g6lKQbiHDqri1S,jazz
